carton  measure
oz  measure
cup measure
cups  measure
teaspoon  measure
teaspoons measure
package measure
1/2 number
1/4 number
ounces  measure
tablespoon  measure
tablespoons measure
pound  measure
pounds  measure
cloves  measure
clove measure
lb measure
lb. measure
c.  measure
box measure
tbsp  measure
Tbsp  measure
tsp measure
tbsp. measure
tsp.  measure
g measure
grams measure
gram  measure
ml  measure
oz. measure
taste measure
pint  measure
tbs measure
dash  measure
springs measure
T measure
bag measure
cans  measure
can measure
packet  measure
packets measure
stalks  measure
head  measure
dry NA
quinoa  NA
black NA
bean  NA
salsa NA
corn  NA
kernel  NA
chili NA
avocado NA
